Date,Close,Volume,Sentiment
2021-10-25,671.659973,3833500,2
2021-10-26,668.520020,2904800,1
2021-10-27,662.919983,2276900,2
2021-10-28,674.049988,2859400,2
2021-10-29,690.309998,3825300,1
2021-11-01,681.169983,3110900,0
2021-11-02,677.719971,3888600,0
2021-11-03,688.289978,2334900,0
2021-11-04,668.400024,4865000,1
2021-11-05,645.719971,5283500,0
2021-11-08,651.450012,2887500,0
2021-11-09,655.989990,2415600,0
2021-11-10,646.909973,2405800,2
2021-11-11,657.580017,2868300,2
2021-11-12,682.609985,4198400,2
2021-11-15,679.330017,2872200,1
2021-11-16,687.400024,2077400,2
2021-11-17,691.690002,2732800,2
2021-11-18,682.020020,2012900,1
2021-11-19,678.799988,2613700,0
2021-11-22,659.200012,2764400,2
2021-11-23,654.059998,2320200,2
2021-11-24,658.289978,1867300,2
2021-11-26,665.640015,2872500,2
2021-11-29,663.840027,2529400,2
2021-11-30,641.900024,5608900,1
2021-12-01,617.770020,3882800,0
2021-12-02,616.469971,3331100,0
2021-12-03,602.130005,4829300,2
2021-12-06,612.690002,3075700,2
2021-12-07,625.580017,3125200,1
2021-12-08,628.080017,2220300,1
2021-12-09,611.000000,2376300,1
2021-12-10,611.659973,2748800,1
2021-12-13,604.559998,2517900,1
2021-12-14,597.989990,2984500,1
2021-12-15,605.039978,2866200,0
2021-12-16,591.059998,3143200,1
2021-12-17,586.729980,4386900,2
2021-12-20,593.739990,3358400,2
2021-12-21,604.919983,2319400,2
2021-12-22,614.239990,2335700,1
2021-12-23,614.090027,1621100,1
2021-12-27,613.119995,2061500,1
2021-12-28,610.710022,1882800,1
2021-12-29,610.539978,1287200,1
2021-12-30,612.090027,1625100,1
2021-12-31,602.440002,1995900,1
2022-01-03,597.369995,3067500,0
2022-01-04,591.150024,4393100,0
2022-01-05,567.520020,4148700,0
2022-01-06,553.289978,5711800,0
2022-01-07,541.059998,3382900,0
2022-01-10,539.849976,4486100,0
2022-01-11,540.840027,3077800,0
2022-01-12,537.219971,3787400,0
2022-01-13,519.200012,4475100,0
2022-01-14,525.690002,7861100,0
2022-01-18,510.799988,4839100,0
2022-01-19,515.859985,4353500,0
2022-01-20,508.250000,12659000,0
2022-01-21,397.500000,58904300,0
2022-01-24,387.149994,32346000,0
2022-01-25,366.420013,15145800,0
2022-01-26,359.700012,12684000,0
2022-01-27,386.700012,24324700,0
2022-01-28,384.359985,11966600,2
2022-01-31,427.140015,20047500,2
2022-02-01,457.130005,22568100,0
2022-02-02,429.480011,14346000,0
2022-02-03,405.600006,9905200,0
2022-02-04,410.170013,7789800,0
2022-02-07,402.100006,8232900,0
2022-02-08,403.529999,6818500,1
2022-02-09,412.890015,7738200,0
2022-02-10,406.269989,8452900,0
2022-02-11,391.309998,7558900,1
2022-02-14,396.570007,7202200,1
2022-02-15,407.459991,5392300,1
2022-02-16,398.079987,5277700,0
2022-02-17,386.670013,4669200,2
2022-02-18,391.290009,6801700,0
2022-02-22,377.380005,6697500,0
2022-02-23,367.459991,4614300,2
2022-02-24,390.029999,7068700,2
2022-02-25,390.799988,4841600,2
2022-02-28,394.519989,5035000,1
2022-03-01,386.239990,3290400,0
2022-03-02,380.029999,5356800,0
2022-03-03,368.070007,6076800,0
2022-03-04,361.730011,5325500,0
2022-03-07,350.260010,5708400,0
2022-03-08,341.760010,6428700,2
2022-03-09,358.790009,6520200,1
2022-03-10,356.769989,4807800,0
2022-03-11,340.320007,4819900,0
2022-03-14,331.010010,5907800,1
2022-03-15,343.750000,5460600,2
2022-03-16,357.529999,6982500,2
2022-03-17,371.399994,5818300,2
2022-03-18,380.600006,8324800,0
2022-03-21,374.589996,4866500,2
2022-03-22,382.920013,4242800,1
2022-03-23,374.489990,3729000,1
2022-03-24,375.709991,3888500,1
2022-03-25,373.850006,3574500,1
2022-03-28,378.510010,4323400,1
2022-03-29,391.820007,5880700,2
2022-03-30,381.470001,4023300,0
2022-03-31,374.589996,4134700,1
2022-04-01,373.470001,4644200,2
2022-04-04,391.500000,7001800,1
2022-04-05,380.149994,4234500,0
2022-04-06,368.350006,4354900,0
2022-04-07,362.149994,4948900,0
2022-04-08,355.880005,4025200,0
2022-04-11,348.000000,3777100,1
2022-04-12,344.100006,3824300,1
2022-04-13,350.429993,3231000,1
2022-04-14,341.130005,4343800,0
2022-04-18,337.859985,5105000,0
2022-04-19,348.609985,20906900,0
2022-04-20,226.190002,133387500,0
2022-04-21,218.220001,53501600,0
2022-04-22,215.520004,37515100,0
2022-04-25,209.910004,28152000,0
2022-04-26,198.399994,20318100,0
